1.720000 0.588707  -9.31704204
1.730000 0.587431  -9.31682381
1.740000 0.586099  -9.31665452
1.750000 0.584711  -9.31653694
1.760000 0.583270  -9.31647378
1.770000 0.581777  -9.31646771
1.780000 0.580233  -9.31652129
1.790000 0.578640  -9.31663697
1.800000 0.577001  -9.31681703
1.810000 0.575316  -9.31706355
1.820000 0.573589  -9.31737834
1.830000 0.571821  -9.31776295
1.840000 0.570015  -9.31821853
1.850000 0.568174  -9.31874584
1.860000 0.566300  -9.31934513
1.870000 0.564395  -9.32001613
1.880000 0.562463  -9.32075794
1.890000 0.560506  -9.32156896
1.900000 0.558528  -9.32244685
1.910000 0.556533  -9.32338844
1.920000 0.554523  -9.32438964
1.930000 0.552502  -9.32544544
1.940000 0.550474  -9.32654980
1.950000 0.548443  -9.32769564
1.960000 0.546413  -9.32887480
1.970000 0.544388  -9.33007803
1.980000 0.542372  -9.33129499
1.990000 0.540369  -9.33251432
2.000000 0.538384  -9.33372364
2.010000 0.536423  -9.33490968
2.020000 0.534488  -9.33605839
2.030000 0.532585  -9.33715507
2.040000 0.530720  -9.33818461
2.050000 0.528896  -9.33913164
2.060000 0.527118  -9.33998085
2.070000 0.525392  -9.34071722
2.080000 0.523723  -9.34132638
2.090000 0.522114  -9.34179489
2.100000 0.520572  -9.34211062
2.110000 0.519100  -9.34226309
2.120000 0.517703  -9.34224378
2.130000 0.516385  -9.34204649
2.140000 0.515152  -9.34166758
2.150000 0.514006  -9.34110627
2.160000 0.512952  -9.34036478
2.170000 0.511993  -9.33944847
2.180000 0.511133  -9.33836592
2.190000 0.510375  -9.33712882
2.200000 0.509720  -9.33575193
2.210000 0.509172  -9.33425282
2.220000 0.508733  -9.33265156
2.230000 0.508404  -9.33097042
2.240000 0.508186  -9.32923334
2.250000 0.508080  -9.32746549
2.260000 0.508087  -9.32569272
2.270000 0.508206  -9.32394097
2.280000 0.508438  -9.32223576
2.290000 0.508780  -9.32060157
2.300000 0.509233  -9.31906140
2.310000 0.509794  -9.31763623
2.320000 0.510461  -9.31634467
2.330000 0.511232  -9.31520260
2.340000 0.512104  -9.31422297
2.350000 0.513075  -9.31341556
2.360000 0.514140  -9.31278701
2.370000 0.515297  -9.31234075
2.380000 0.516541  -9.31207716
2.390000 0.517868  -9.31199366
2.400000 0.519274  -9.31208501
2.410000 0.520755  -9.31234355
2.420000 0.522306  -9.31275948
2.430000 0.523922  -9.31332124
2.440000 0.525598  -9.31401585
2.450000 0.527331  -9.31482919
2.460000 0.529114  -9.31574644
2.470000 0.530943  -9.31675230
2.480000 0.532814  -9.31783137
2.490000 0.534721  -9.31896835
2.500000 0.536659  -9.32014830
2.510000 0.538624  -9.32135688
2.520000 0.540611  -9.32258044
2.530000 0.542615  -9.32380621
2.540000 0.544633  -9.32502238
2.550000 0.546659  -9.32621819
