3.300000 0.567142  -9.33224234
3.310000 0.565260  -9.33225226
3.320000 0.563349  -9.33226215
3.330000 0.561412  -9.33227194
3.340000 0.559453  -9.33228152
3.350000 0.557474  -9.33229080
3.360000 0.555479  -9.33229967
3.370000 0.553471  -9.33230799
3.380000 0.551455  -9.33231565
3.390000 0.549434  -9.33232251
3.400000 0.547411  -9.33232843
3.410000 0.545391  -9.33233326
3.420000 0.543379  -9.33233686
3.430000 0.541377  -9.33233910
3.440000 0.539392  -9.33233983
3.450000 0.537426  -9.33233893
3.460000 0.535486  -9.33233628
3.470000 0.533575  -9.33233180
3.480000 0.531699  -9.33232540
3.490000 0.529862  -9.33231705
3.500000 0.528068  -9.33230673
3.510000 0.526324  -9.33229445
3.520000 0.524633  -9.33228028
3.530000 0.523001  -9.33226433
3.540000 0.521432  -9.33224672
3.550000 0.519931  -9.33222767
3.560000 0.518502  -9.33220738
3.570000 0.517151  -9.33218616
3.580000 0.515880  -9.33216430
3.590000 0.514696  -9.33214216
3.600000 0.513600  -9.33212012
3.610000 0.512598  -9.33209856
3.620000 0.511692  -9.33207789
3.630000 0.510886  -9.33205852
3.640000 0.510182  -9.33204083
3.650000 0.509583  -9.33202519
3.660000 0.509091  -9.33201194
3.670000 0.508708  -9.33200135
3.680000 0.508435  -9.33199367
3.690000 0.508274  -9.33198907
3.700000 0.508224  -9.33198764
3.710000 0.508286  -9.33198943
3.720000 0.508460  -9.33199438
3.730000 0.508745  -9.33200239
3.740000 0.509141  -9.33201328
3.750000 0.509644  -9.33202682
3.760000 0.510255  -9.33204270
3.770000 0.510970  -9.33206060
3.780000 0.511788  -9.33208013
3.790000 0.512705  -9.33210092
3.800000 0.513718  -9.33212255
3.810000 0.514823  -9.33214463
3.820000 0.516018  -9.33216675
3.830000 0.517297  -9.33218856
3.840000 0.518657  -9.33220969
3.850000 0.520094  -9.33222985
3.860000 0.521603  -9.33224876
3.870000 0.523179  -9.33226619
3.880000 0.524818  -9.33228195
3.890000 0.526515  -9.33229591
3.900000 0.528265  -9.33230797
3.910000 0.530064  -9.33231808
3.920000 0.531906  -9.33232621
3.930000 0.533786  -9.33233239
3.940000 0.535701  -9.33233666
3.950000 0.537644  -9.33233911
3.960000 0.539612  -9.33233982
3.970000 0.541599  -9.33233892
3.980000 0.543602  -9.33233653
3.990000 0.545616  -9.33233278
4.000000 0.547636  -9.33232782
4.010000 0.549658  -9.33232179
4.020000 0.551680  -9.33231484
4.030000 0.553695  -9.33230710
4.040000 0.555701  -9.33229870
4.050000 0.557695  -9.33228979
4.060000 0.559671  -9.33228047
4.070000 0.561629  -9.33227086
4.080000 0.563563  -9.33226105
4.090000 0.565471  -9.33225115
4.100000 0.567349  -9.33224124
4.110000 0.569197  -9.33223138
4.120000 0.571009  -9.33222165
4.130000 0.572785  -9.33221209
4.140000 0.574521  -9.33220277
4.150000 0.576215  -9.33219370
4.160000 0.577866  -9.33218494
4.170000 0.579471  -9.33217650
4.180000 0.581027  -9.33216841
4.190000 0.582534  -9.33216068
4.200000 0.583990  -9.33215332
4.210000 0.585393  -9.33214634
4.220000 0.586741  -9.33213974
4.230000 0.588033  -9.33213352
4.240000 0.589268  -9.33212768
4.250000 0.590445  -9.33212222
4.260000 0.591562  -9.33211713
4.270000 0.592618  -9.33211239
4.280000 0.593613  -9.33210802
4.290000 0.594545  -9.33210399
4.300000 0.595414  -9.33210030
4.310000 0.596218  -9.33209693
4.320000 0.596957  -9.33209388
4.330000 0.597632  -9.33209115
4.340000 0.598240  -9.33208871
4.350000 0.598781  -9.33208657
4.360000 0.599255  -9.33208471
4.370000 0.599662  -9.33208314
4.380000 0.600001  -9.33208183
4.390000 0.600273  -9.33208080
4.400000 0.600476  -9.33208003
4.410000 0.600610  -9.33207952
